,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
883,F30299,1965.0,E,2.0,2019-11-20 10:35:20.000,2019-11-20,2019-11-20 00:00:00,2019-12-05,,1252.5,187.88,0
886,F30302,925.0,E,1.0,2019-11-20 11:26:25.000,2019-11-20,2019-11-19 00:00:00,2020-01-19,,6783.000000000001,0.0,0
891,F30307,1753.0,E,2.0,2019-11-20 13:04:14.000,2019-11-20,2019-11-12 00:00:00,2019-12-20,,3168.0000000000005,0.0,0
896,F30312,989.0,E,2.0,2019-11-20 17:44:39.000,2019-11-20,2019-10-30 00:00:00,2019-12-05,,1855.3600000000001,0.0,0
902,F30318,925.0,E,1.0,2019-11-21 09:31:52.000,2019-11-21,2019-11-19 00:00:00,2020-01-20,,10067.900000000001,0.0,0
912,F30328,571.0,E,2.0,2019-11-21 12:46:51.000,2019-11-21,2019-11-04 00:00:00,2019-11-21,,11338.400000000001,0.0,0
927,F30343,322.0,E,1.0,2019-11-22 09:57:56.000,2019-11-22,2019-11-19 00:00:00,2019-12-07,,3472.0000000000005,0.0,0
930,F30346,1020.0,E,2.0,2019-11-22 10:41:43.000,2019-11-22,2019-11-05 00:00:00,2019-12-22,,7802.1,0.0,0
934,F30350,1925.0,E,3.0,2019-11-22 11:56:32.000,2019-11-22,2019-11-29 00:00:00,2019-12-22,,3583.7500000000005,0.0,0
935,F30351,484.0,E,3.0,2019-11-22 12:23:36.000,2019-11-22,2019-11-22 00:00:00,2019-12-07,,716.0,0.0,0
941,F30357,1289.0,E,6.0,2019-11-25 08:40:25.000,2019-11-25,2019-11-29 00:00:00,2019-11-25,,5631.18,0.0,0
944,F30360,1369.0,E,2.0,2019-11-25 10:17:16.000,2019-11-25,2019-11-25 00:00:00,2019-11-25,,420.00000000000006,0.0,0
963,F30379,466.0,E,1.0,2019-11-26 08:57:49.000,2019-11-26,2019-11-15 00:00:00,2020-01-25,,1937.6000000000001,0.0,0
970,F30386,466.0,E,1.0,2019-11-26 12:46:54.000,2019-11-26,2019-11-26 00:00:00,2020-01-25,,1050.0,0.0,0
979,F30395,871.0,E,1.0,2019-11-27 08:36:40.000,2019-11-27,2019-11-20 00:00:00,2019-12-12,,2458.2,0.0,0
980,F30396,1925.0,E,3.0,2019-11-27 08:55:19.000,2019-11-27,2019-11-26 00:00:00,2019-12-27,,1696.25,0.0,0
981,F30397,1487.0,E,3.0,2019-11-27 08:57:46.000,2019-11-27,2019-11-26 00:00:00,2019-12-05,,6772.500000000001,0.0,0
989,F30405,484.0,E,3.0,2019-11-27 14:42:56.000,2019-11-27,2019-11-21 00:00:00,2019-12-12,,5255.25,0.0,0
992,F30408,644.0,E,1.0,2019-11-27 16:55:48.000,2019-11-27,2019-11-08 00:00:00,2020-01-26,,10701.9,0.0,0
997,F30413,1019.0,E,2.0,2019-11-27 17:42:55.000,2019-11-27,2019-11-19 00:00:00,2019-12-12,,4978.5,0.0,0
1019,F30435,1965.0,E,2.0,2019-11-29 09:08:14.000,2019-11-29,2019-11-28 00:00:00,2019-12-14,,2125.0000000000005,318.75,0
1033,F30449,150.0,E,3.0,2019-11-29 17:11:59.000,2019-11-29,2019-11-29 00:00:00,2019-11-29,,6649.500000000001,0.0,0
1054,F30470,1852.0,E,2.0,2019-12-03 13:31:47.000,2019-12-03,2019-11-25 00:00:00,2019-12-18,,4070.2200000000003,0.0,0
1084,F30500,1290.0,E,3.0,2019-12-05 09:28:31.000,2019-12-05,2019-12-05 00:00:00,2019-12-05,,582.5,0.0,0
1085,F30501,1284.0,E,2.0,2019-12-05 09:58:03.000,2019-12-05,2019-11-28 00:00:00,2020-01-04,,4518.000000000001,0.0,0
1093,F30509,1284.0,E,2.0,2019-12-05 14:58:50.000,2019-12-05,2019-12-05 00:00:00,2020-01-04,,1981.25,0.0,0
1098,F30514,209.0,E,2.0,2019-12-06 12:17:50.000,2019-12-06,2019-12-02 00:00:00,2019-12-06,,7471.275,0.0,0
1100,F30516,310.0,E,2.0,2019-12-06 13:07:34.000,2019-12-06,2019-12-06 00:00:00,2019-12-06,,813.8100000000001,0.0,0
1103,F30519,856.0,E,2.0,2019-12-06 17:15:39.000,2019-12-06,2019-11-27 00:00:00,2019-12-06,,3033.46,0.0,0
1106,F30522,644.0,E,1.0,2019-12-09 09:17:45.000,2019-12-09,2019-11-08 00:00:00,2020-02-07,,49942.200000000004,0.0,0
1109,F30525,322.0,E,1.0,2019-12-09 09:36:55.000,2019-12-09,2019-12-04 00:00:00,2019-12-24,,5621.500000000001,562.15,0
1120,F30536,1339.0,E,1.0,2019-12-10 09:57:55.000,2019-12-10,2019-12-06 00:00:00,2020-01-09,,31975.0,0.0,0
1121,F30537,1289.0,E,5.0,2019-12-10 09:59:22.000,2019-12-10,2019-12-06 00:00:00,2020-01-09,,5588.000000000001,0.0,0
1133,F30549,1339.0,E,1.0,2019-12-11 08:36:57.000,2019-12-11,2019-12-10 00:00:00,2020-01-10,,2040.0,0.0,0
1137,F30553,1852.0,E,2.0,2019-12-11 10:36:35.000,2019-12-11,2019-12-09 00:00:00,2019-12-26,,5749.590000000001,0.0,0
1140,F30556,484.0,E,3.0,2019-12-11 14:26:14.000,2019-12-11,2019-12-11 00:00:00,2019-12-26,,1580.0000000000002,0.0,0
1157,F30573,466.0,E,1.0,2019-12-16 08:27:09.000,2019-12-16,2019-12-17 00:00:00,2020-02-14,,2577.1,0.0,0
1158,F30574,466.0,E,1.0,2019-12-16 08:29:13.000,2019-12-16,2019-11-29 00:00:00,2020-02-14,,1937.6000000000001,0.0,0
1164,F30580,1240.0,E,2.0,2019-12-16 10:18:38.000,2019-12-16,2019-12-16 00:00:00,2019-12-16,,980.0000000000001,0.0,0
1171,F30587,484.0,E,3.0,2019-12-16 16:04:09.000,2019-12-16,2019-12-11 00:00:00,2019-12-31,,2830.0,0.0,0
1172,F30588,150.0,E,3.0,2019-12-16 16:23:34.000,2019-12-16,2019-12-11 00:00:00,2019-12-16,,6649.5,0.0,0
1176,F30592,169.0,E,2.0,2019-12-16 17:31:58.000,2019-12-16,2019-12-16 00:00:00,2019-12-16,,1062.97,0.0,0
1197,F30613,806.0,C,2.0,2019-12-17 16:16:09.000,2019-12-17,2019-12-02 00:00:00,2020-01-01,2019-12-18,3029.2799999999997,0.0,0
1200,F30616,1339.0,E,1.0,2019-12-18 07:57:45.000,2019-12-18,2019-12-12 00:00:00,2020-01-17,,62060.0,0.0,0
1201,F30617,1339.0,E,1.0,2019-12-18 07:59:28.000,2019-12-18,2019-12-11 00:00:00,2020-01-17,,22800.000000000004,0.0,0
1202,F30618,871.0,C,1.0,2019-12-18 08:01:56.000,2019-12-18,2019-12-13 00:00:00,2020-01-02,2019-12-18,2835.0,0.0,0
1206,F30622,537.0,E,2.0,2019-12-18 09:12:05.000,2019-12-18,2019-12-02 00:00:00,2020-01-17,,10731.6,0.0,0
1212,F30628,1020.0,E,6.0,2019-12-18 15:47:01.000,2019-12-18,2019-12-18 00:00:00,2020-01-17,,347.2875,0.0,0
1213,F30629,806.0,E,2.0,2019-12-18 16:03:55.000,2019-12-18,2019-12-02 00:00:00,2020-01-02,,3029.28,0.0,0
1217,F30633,484.0,E,3.0,2019-12-19 09:54:11.000,2019-12-19,2019-12-19 00:00:00,2020-01-03,,2096.3,0.0,0
1219,F30635,1784.0,E,2.0,2019-12-19 11:43:45.000,2019-12-19,2019-12-19 00:00:00,2020-01-03,,1449.42,0.0,0
1252,F30668,925.0,E,1.0,2019-12-20 17:31:27.000,2019-12-20,2019-12-11 00:00:00,2020-02-18,,1800.0000000000002,0.0,0
1253,F30669,925.0,E,1.0,2019-12-20 17:35:43.000,2019-12-20,2019-12-11 00:00:00,2020-02-18,,2261.0,0.0,0
1284,F30700,1289.0,E,5.0,2020-01-06 08:57:52.000,2020-01-06,2020-01-13 00:00:00,2020-02-05,,5973.000000000001,0.0,0
1299,F30715,1965.0,E,2.0,2020-01-07 10:28:05.000,2020-01-07,2020-01-07 00:00:00,2020-01-22,,9135.0,1370.25,0
1300,F30716,361.0,E,2.0,2020-01-07 10:55:09.000,2020-01-07,2020-01-07 00:00:00,2020-01-07,,227.50000000000003,0.0,0
1310,F30726,941.0,E,3.0,2020-01-08 08:58:55.000,2020-01-08,2020-01-02 00:00:00,2020-02-07,,4850.0,0.0,0
1311,F30727,1289.0,E,5.0,2020-01-08 09:05:57.000,2020-01-08,2020-01-13 00:00:00,2020-02-07,,4191.0,0.0,0
1312,F30728,644.0,E,1.0,2020-01-08 09:41:18.000,2020-01-08,2019-12-16 00:00:00,2020-03-08,,11794.2,0.0,0
